Year,3M,Accenture,adidas,Adobe,Amazon,American Express,Apple,Audi,BMW,Coca-Cola,Disney,Facebook,Ford,Google,HP,Intel,Louis Vuitton,Samsung,Toyota,Zara,,,
2000,0,0,3791,0,4528,16122,6594,0,12969,72537,33553,0,36368,0,20572,39048,6887,5223,18823,0,,,
2001,0,0,3650,0,3130,16919,5464,0,13858,68945,32591,0,30092,0,17983,34665,7053,6374,18578,0,,,
2002,0,5182,3690,0,3175,16287,5316,0,14425,69637,29256,0,20403,0,16776,30861,7054,8310,19448,0,,,
2003,0,5301,3679,0,3403,16833,5554,0,15106,70453,28036,0,17066,0,19860,31112,6708,10846,20784,0,,,
2005,0,6142,4033,0,4248,18559,7985,3686,17126,67525,26441,0,13159,8461,18866,35588,16077,14956,24837,3730,,,
2006,0,6728,4290,0,4707,19641,9130,4165,19617,67000,27848,0,11056,12376,20458,32319,17606,16169,27941,4235,,,
2007,0,7296,4767,0,5411,20827,11037,4866,21612,65324,29210,0,8982,17837,22197,30954,20321,16853,32070,5165,,,
2008,0,7948,5072,0,6434,21940,13724,5407,23298,66667,29251,0,7896,25590,23509,31261,21602,17689,34050,5955,,,
2009,0,7710,5397,3161,7858,14971,15433,5010,21671,68734,28447,0,7005,31980,24096,30636,21120,17518,31330,6789,,,
2010,3586,7481,5495,3626,9665,13944,21143,5461,22322,70452,28731,0,7195,43557,26867,32015,21860,19491,26192,7468,,,
2011,3945,8005,6154,4170,12758,14572,33492,6171,24554,71861,29018,0,7483,55317,28479,35217,23172,23430,27764,8065,,,
2012,4656,8745,6699,4557,18625,15702,76568,7196,29052,77839,27438,5421,7958,69726,26087,39385,23577,32893,30280,9488,,,
2013,5413,9471,7535,4899,23620,17646,98316,7767,31839,79213,28147,7732,9181,93291,25843,37257,24893,39610,35346,10821,,,
2014,6177,9882,7378,5333,29478,19510,118863,9831,34214,81563,32223,14349,10876,107439,23758,34153,22552,45462,42392,12126,,,
2015,7243,10800,6811,6257,37948,18922,170276,10328,37212,78423,36514,22029,11578,120314,23056,35415,22250,45297,49048,14031,,,
2016,8199,12033,7885,7586,50338,18358,178119,11799,41535,73102,38790,32593,12962,133252,10386,36952,23998,51808,53580,16766,,,
2017,8947,12471,9216,9060,64796,17787,184154,12023,41521,69733,40772,48188,13643,141703,9541,39459,22919,56249,50291,18573,,,
2018,9104,14214,10772,10748,100764,19139,214480,12187,41006,66341,39874,45168,13995,155506,10433,43293,28152,59890,53404,17712,,,
2019,9035,16205,16669,12937,125263,21629,234241,12689,41440,63365,44352,39857,14325,167713,10891,40197,32223,61098,56246,17715,88450,278910,36799
2020,9409,16600,16481,18206,200667,19458,322999,12428,39756,56894,40773,35178,12568,165444,9740,36971,31720,62289,51595,14862,100234,299811,38028
2021,9702,17928,14342,24832,249249,19075,408251,13474,41631,57488,44183,36248,12861,196811,10481,35761,36776,74635,54107,16503,596800,303301,31415
2022,9486,18671,15441,30660,274819,17165,482215,14976,46331,59489,50325,34538,14431,251751,11884,32916,38905,87689,59757,14958,404880,375386,29656
